ohm,ma30,mv30,ma35,mv35,ma45,mv45,mw30,mw35,mw45
1,31.1,196.5,22.9,143.7,14.17,216,6.11,3.29,3.06
2,31,226,22.8,166,14.13,229,7.01,3.78,3.24
3,30.9,256,22.8,188.2,14.09,243,7.91,4.29,3.42
4,30.8,285,22.7,211,14.05,256,8.78,4.79,3.60
5,30.6,314,22.7,232,14.01,269,9.61,5.27,3.77
6,30.4,342,22.6,254,13.95,282,10.40,5.74,3.93
7,29.9,367,22.5,276,13.9,294,10.97,6.21,4.09
8,29.5,390,22.4,296,13.82,307,11.51,6.63,4.24
9,28.8,410,22.3,317,13.75,319,11.81,7.07,4.39
10,19.83,426,22.2,336,13.66,330,8.45,7.46,4.51
12,18.51,449,21.7,372,13.45,352,8.31,8.07,4.73
14,17.33,463,21,401,13.17,371,8.02,8.42,4.89
16,16.28,472,20,423,12.85,387,7.68,8.46,4.97
18,15.35,478,14.61,469,12.47,400,7.34,6.85,4.99
20,14.5,483,13.85,473,12.06,412,7.00,6.55,4.97
25,12.76,492,12.26,479,11.03,431,6.28,5.87,4.75
30,11.38,497,10.97,484,10.06,443,5.66,5.31,4.46
35,10.28,500,9.93,487,9.21,451,5.14,4.84,4.15
40,9.37,503,9.07,489,8.47,457,4.71,4.44,3.87
45,8.6,505,8.33,491,7.83,461,4.34,4.09,3.61
50,7.96,508,7.72,493,7.28,465,4.04,3.81,3.39
60,6.91,509,6.72,495,6.37,470,3.52,3.33,2.99
70,6.11,510,5.94,497,5.66,473,3.12,2.95,2.68
80,5.47,511,5.33,498,5.09,475,2.80,2.65,2.42
90,4.96,512,4.83,499,4.62,477,2.54,2.41,2.20
100,4.52,513,4.41,500,4.23,479,2.32,2.21,2.03
200,1.698,515,1.660,504,1.607,486,0.87,0.84,0.78
300,1.28,516,1.252,505,1.211,489,0.66,0.63,0.59
400,1.027,517,1.005,506,0.972,490,0.53,0.51,0.48
500,0.857,517,0.839,506,0.812,490,0.44,0.42,0.40
600,0.736,517,0.720,506,0.697,490,0.38,0.36,0.34
700,0.644,517,0.631,506,0.611,490,0.33,0.32,0.30
800,0.573,517,0.561,507,0.544,491,0.30,0.28,0.27
900,0.517,517,0.506,507,0.49,491,0.27,0.26,0.24
1000,0.47,517,0.460,507,0.446,491,0.24,0.23,0.22
